post,pre,syn,share,pre_superclass,pre_nt,pre_n,hb_syn,hb_share
FB7B,SMP183,141,0.027,cb_intrinsic,acetylcholine,2,43,0.01
FB7E,SIP065,180,0.027,cb_intrinsic,glutamate,2,170,0.031
FB7F,SLP405_c,69,0.027,cb_intrinsic,acetylcholine,6,3,0.003
FB8E,CB1617,72,0.027,cb_intrinsic,glutamate,22,0,0.0
FB8H,LHPV5e2,121,0.027,cb_intrinsic,acetylcholine,2,27,0.006
FB8I,SMP743,142,0.027,cb_intrinsic,acetylcholine,4,0,0.0
SA2_a,CB4129,60,0.027,cb_intrinsic,glutamate,10,0,0.0
SA2_b,LHPV6a9_b,50,0.027,cb_intrinsic,acetylcholine,7,0,0.0
FB1A,LHPD2d2,68,0.026,cb_intrinsic,glutamate,2,36,0.011
FB1C,SMP192,346,0.026,cb_intrinsic,acetylcholine,2,118,0.013
FB4A_b,LHPD2c7,70,0.026,cb_intrinsic,glutamate,4,0,
FB4I,LAL045,64,0.026,cb_intrinsic,gaba,2,37,0.012
FB4Q_a,CRE059,68,0.026,cb_intrinsic,acetylcholine,4,96,0.029
FB4R,LAL185,176,0.026,cb_intrinsic,acetylcholine,4,24,0.006
