body_pre,body_post,weight
24459,23520,97
19125,526548,97
10969,26417,97
30206,11886,97
10514,14975,96
19791,23315,96
28364,521644,96
77360,515192,96
35912,26242,96
524073,14871,96
50327,11673,96
67167,513032,96
72892,14677,96
12359,27985,96
38182,17801,96
38182,524596,96
10514,518779,96
12359,58585,96
514045,10539,96
26443,512319,96
18899,557395,96
515130,515193,96
27191,556502,96
27191,17016,96
19100,30068,96
22923,567101,96
521634,10537,96
512362,50327,96
516110,81159,96
76194,556346,96
22657,13914,96
25982,17816,96
131313,46764,96
13033,14434,96
533946,20231,96
25773,17016,96
515192,15325,95
518220,70894,95
23381,10324,95
533946,39883,95
38334,34924,95
30313,19100,95
39413,516110,95
555342,520575,95
28701,53618,95
45969,14464,95
12506,53086,95
39813,520818,95
17874,513266,95
527199,42264,95
527199,37817,95
13033,517548,95
515192,539328,95
10539,522992,95
17379,518378,95
28339,19791,95
38084,19169,95
10514,43161,95
15616,10099,95
23325,12104,95
11989,51159,95
28190,513217,95
19323,13094,95
533946,69954,95
34972,11433,95
22086,12083,95
513284,525062,95
28559,42739,95
521528,12656,94
561332,32805,94
512927,512513,94
18932,515675,94
18666,21018,94
515295,19100,94
84758,100809,94
31756,19602,94
513464,20007,94
515675,10099,94
42264,37817,94
10514,32432,94
529385,520581,94
73853,23159,94
22884,14434,94
522991,22884,94
70573,12221,94
11516,71747,94
29493,24399,94
13101,14434,94
519332,21932,94
26913,513702,94
525061,26064,94
17816,33293,94
513284,15616,94
12506,513520,94
40768,45969,94
517726,68438,94
25939,30807,94
520468,10324,94
522972,22884,94
42739,49288,94
15409,11053,94
11053,522973,93
519328,12506,93
25371,533944,93
47995,45155,93
565465,20969,93
12359,533135,93
19100,50327,93
12359,132898,93
10324,39798,93
19100,58730,93
42231,530071,93
19100,12083,93
17801,521646,93
46262,28701,93
17016,33307,93
10099,45427,93
76194,511778,93
12674,30122,93
517012,24387,93
92576,45155,93
25371,39883,93
11886,294178,93
515192,23846,93
46008,524596,93
521646,15210,93
38084,47186,93
20233,10624,93
515464,19602,93
15399,555342,93
18779,519941,93
18779,519328,93
30329,11673,93
30206,12656,93
16800,41715,93
520817,522974,93
512513,22084,93
12506,61590,93
515675,16008,93
12506,512928,93
12506,61845,93
520468,31541,93
12506,515675,93
12506,35743,93
12506,45427,93
19238,31715,93
19760,513284,93
512513,18932,92
12506,512513,92
10099,17454,92
34972,12656,92
10099,51159,92
519941,522973,92
517418,32718,92
20925,12706,92
107195,61845,92
520817,32258,92
11516,149501,92
130175,45155,92
25773,30313,92
10099,521813,92
10099,294178,92
30313,556502,92
53043,515192,92
17874,530071,92
15399,11053,92
22240,15713,92
520468,533946,92
22302,19715,92
524876,49288,92
514126,34188,92
17016,12083,92
20007,14464,92
23315,527653,92
13033,13101,92
23315,22461,92
519140,12506,92
11989,81159,92
28190,102689,92
11340,517548,92
42231,14729,92
517012,557395,92
67241,12221,92
12104,23325,92
69704,511842,92
520817,524717,92
12706,11433,92
555342,26443,91
11516,60449,91
23180,52191,91
555342,45969,91
42750,17820,91
523578,529129,91
23090,28146,91
11053,76194,91
513217,28190,91
17816,48491,91
11053,523806,91
25334,52798,91
519144,39753,91
568155,11053,91
59485,13142,91
11053,20007,91
16315,515960,91
13418,26439,91
17820,59994,91
25371,63277,91
16008,512319,91
18419,520581,91
520817,12506,91
20404,13094,91
555342,522973,91
555342,523807,91
20233,22884,91
16360,512793,91
18504,46764,91
22461,25797,91
27460,11497,91
18744,46764,91
12763,30068,91
