pre,post,male_syn,female_syn,male_share,female_share,log2_ratio
FB4L,hDeltaB,1207,1875,0.0257,0.0461,-0.84
EPG,ER3w,1442,415,0.0389,0.0217,0.84
vDeltaH,hDeltaH,701,1109,0.024,0.043,-0.84
,ER5,1277,498,0.0497,0.0278,0.83
GLNO,PEN_a,9806,4199,0.2265,0.1272,0.83
FB2D,FB2A,304,410,0.0304,0.0541,-0.83
FB7A,hDeltaF,580,653,0.0162,0.0289,-0.83
FB4L,PFR,223,414,0.0033,0.0059,-0.83
FB5C,FC2B,627,512,0.0148,0.0083,0.83
,FB6D,285,488,0.046,0.0817,-0.83
FB2B,FB2D,528,858,0.0282,0.05,-0.82
FB5H,vDeltaG,353,484,0.0263,0.0465,-0.82
ExR3,ER4d,331,504,0.0058,0.0104,-0.82
FB1C,vDeltaB,164,411,0.0166,0.0293,-0.81
FB4K,PFGs,736,476,0.0224,0.0126,0.81
EL,ER3p,4287,6335,0.2249,0.3952,-0.81
FB5I,FS1A,201,490,0.0079,0.014,-0.81
FB6J,hDeltaL,1259,1781,0.0342,0.0603,-0.81
vDeltaC,FB6O,484,865,0.1446,0.2539,-0.81
FB5K,hDeltaH,395,616,0.0135,0.0239,-0.81
FB2A,FC3,314,400,0.0103,0.0182,-0.81
PFL3,DNb01,753,375,0.0469,0.0267,0.81
FC3,,27955,7,0.0002,0.0,0.81
hDeltaB,PFNd,427,222,0.0088,0.0049,0.81
,FB2B,480,236,0.03,0.0171,0.81
FC1F,hDeltaC,421,505,0.0095,0.0168,-0.8
FC1A,FC3,654,268,0.0215,0.0122,0.8
,FB5AB,677,879,0.0552,0.0965,-0.8
vDeltaF,FB5L,641,533,0.1891,0.1083,0.8
FS4B,SMP167,378,499,0.1036,0.1802,-0.8
TuBu02,ExR1,613,246,0.0112,0.0064,0.8
FB1G,,27561,10,0.0002,0.0,0.8
FB5Y,FS1A,186,447,0.0073,0.0128,-0.79
SIP004,LCNOpm,562,165,0.032,0.0185,0.79
FB5AB,vDeltaI,760,275,0.0329,0.0189,0.79
FB5W,hDeltaI,915,428,0.0248,0.0143,0.79
FB6R,hDeltaG,501,234,0.0173,0.0099,0.79
FB5C,FS2,440,228,0.0152,0.0088,0.78
FB7D,hDeltaL,1567,729,0.0426,0.0247,0.78
FB7A,FB7D,363,561,0.0495,0.0852,-0.78
FB1C,vDeltaK,378,665,0.0229,0.0394,-0.78
FB4M,vDeltaM,350,500,0.0255,0.0438,-0.77
PFR,CRE009,411,173,0.1356,0.0792,0.77
,FB8H,377,604,0.0841,0.1438,-0.77
PFR,FB4Q,762,1390,0.0881,0.1506,-0.77
FB6A,FB7I,449,243,0.0584,0.0342,0.77
FB8I,FB7J,679,521,0.1143,0.067,0.77
FB2G,hDeltaA,836,384,0.0166,0.0097,0.77
FS4C,SLP414,860,832,0.1781,0.1045,0.77
FB1H,PFNd,435,692,0.0089,0.0153,-0.77
FB4B,PFR,852,505,0.0125,0.0072,0.77
PFGs,ExR3,1002,1918,0.0668,0.1136,-0.76
FB2M,FS1A,698,563,0.0274,0.0161,0.76
FB1H,FB4Q,239,433,0.0276,0.0469,-0.76
PLP246,FB4M,660,257,0.0329,0.0194,0.76
PS196,GLNO,1804,531,0.1893,0.1119,0.76
LPsP,PFL2,440,780,0.0138,0.0234,-0.76
FB6A,FS1A,459,371,0.018,0.0106,0.75
EL,ExR7,214,541,0.0312,0.0527,-0.75
FB4Y,hDeltaI,937,1287,0.0254,0.0429,-0.75
,FB5B,276,439,0.0548,0.0923,-0.75
ExR5,ExR1,1559,652,0.0285,0.0169,0.75
hDeltaK,hDeltaK,372,641,0.0139,0.0235,-0.75
Delta7,PEG,3926,6123,0.1879,0.3155,-0.75
LNO1,PFNd,2982,1643,0.0611,0.0364,0.75
EPG,PFNp,1122,1702,0.0162,0.0273,-0.75
FC1F,FB2F,503,738,0.0348,0.0585,-0.74
FB5P,FB5R,499,787,0.1616,0.0965,0.74
FB5W,hDeltaM,773,1013,0.0306,0.0513,-0.74
FS4A,SMP304,428,262,0.1982,0.3312,-0.74
EPG,GLNO,766,228,0.0804,0.048,0.74
vDeltaE,hDeltaG,2405,3263,0.083,0.1384,-0.74
LAL043,LCNOp,823,453,0.1244,0.0746,0.74
FB4M,FB4F,379,701,0.0249,0.0416,-0.74
PFNa,,24220,1,0.0001,0.0,0.73
FB1C,vDeltaA,303,557,0.0142,0.0237,-0.73
vDeltaA,FB9C,385,534,0.1528,0.2536,-0.73
vDeltaA,FB8F,584,727,0.0538,0.0893,-0.73
hDeltaF,FB6A,504,313,0.0203,0.0122,0.72
FB5W,PFL3,472,819,0.0078,0.013,-0.72
CRE028,FB5V,577,384,0.0311,0.0187,0.72
ExR3,EPG,686,955,0.0033,0.0056,-0.72
hDeltaA,,23741,0,0.0001,0.0,0.72
PFR,FB4M,615,673,0.0307,0.0508,-0.72
FB1C,PFNm,1122,1738,0.0471,0.0778,-0.72
FS4A,FB1B,222,446,0.0745,0.1227,-0.72
FB5Z,FB5S,1291,744,0.1509,0.0917,0.72
FB7K,PFGs,755,523,0.0229,0.0139,0.72
FB2A,FC1B,561,867,0.0394,0.0648,-0.72
IbSpsP,PFNv,958,1521,0.0463,0.0762,-0.72
ExR6,ExR7,230,566,0.0335,0.0551,-0.71
,FB4M,628,683,0.0313,0.0516,-0.71
PFNp,FB1C,2350,2559,0.1767,0.2899,-0.71
FB6M,hDeltaK,1995,1240,0.0745,0.0454,0.71
FC2C,FS3,456,315,0.0184,0.0112,0.71
EL,ER3w,2586,2183,0.0698,0.1142,-0.71
FB2I,FB2D,807,1209,0.0431,0.0704,-0.7
PFNd,FB4C,1306,742,0.11,0.0676,0.7
FB4P,FC2A,438,811,0.0136,0.0223,-0.7
FB4Q,FC2B,404,359,0.0095,0.0058,0.7
LAL144,LCNOpm,528,165,0.0301,0.0185,0.7
hDeltaM,FC2A,383,709,0.0119,0.0195,-0.7
EPG,ExR5,1316,736,0.1063,0.0654,0.7
FB1H,PFL3,284,487,0.0047,0.0077,-0.7
FB4K,PFR,1895,1186,0.0277,0.017,0.7
LAL147,FB5V,791,537,0.0426,0.0262,0.7
EL,ER3d,5207,5704,0.0701,0.1138,-0.7
vDeltaM,vDeltaL,1106,634,0.0896,0.0552,0.7
FB6C,FB6A,858,546,0.0346,0.0213,0.69
FB2J,FC1C,1071,841,0.074,0.0457,0.69
PFNv,PFNp,506,743,0.0073,0.0119,-0.69
FB2J,FC2A,1081,756,0.0336,0.0208,0.69
FB5N,hDeltaM,1357,656,0.0536,0.0332,0.69
vDeltaF,FC2B,880,794,0.0208,0.0128,0.69
FB5B,hDeltaG,397,523,0.0137,0.0222,-0.69
FB5D,FR1,882,608,0.0307,0.019,0.68
FB2G,FB2D,794,452,0.0424,0.0263,0.68
FB4Y,PFL2,327,552,0.0102,0.0166,-0.68
ER6,PEG,3602,2082,0.1724,0.1073,0.68
GLNO,PEN_b,6565,3460,0.1523,0.0949,0.68
FB4O,FC2B,486,439,0.0115,0.0071,0.68
FB1E,FB1E,419,457,0.0838,0.1344,-0.68
FB6B,FS3,247,453,0.01,0.0161,-0.68
PEN_a,GLNO,2397,1911,0.2515,0.4027,-0.68
PEG,EPG,994,499,0.0048,0.0029,0.68
