body_pre,body_post,weight,type_pre,type_post
24683,27109,81,PFNv,hDeltaB
515966,149740,81,hDeltaH,FC2B
20653,20980,81,ER4d,ER4d
24879,19323,81,ER4d,ER4d
50808,28339,81,ER4d,ER4d
17379,22240,81,Delta7,PEN_b(PEN2)
19791,20404,81,ER4d,ER4d
50808,527653,81,ER4d,ER4d
28190,28559,81,PFNv,PFNv
45839,512608,81,ER3d_b,ER3d_b
28339,20980,81,ER4d,ER4d
25797,23520,81,ER4d,ER4d
102689,29493,81,PFNv,PFNv
512362,515234,81,hDeltaB,hDeltaA
527653,22461,81,ER4d,ER4d
57591,42059,81,EPGt,PEG
28559,48667,81,PFNv,PFNv
25792,512928,81,PEN_a(PEN1),EPG
17753,18625,81,Delta7,PFL1
27191,513702,81,PFNv,hDeltaB
18504,34188,80,PEN_a(PEN1),EL
20818,13217,80,PEN_a(PEN1),EPG
514045,513033,80,PEN_a(PEN1),EPG
40390,520818,80,PEN_b(PEN2),EPG
40390,131313,80,PEN_b(PEN2),EPG
27179,27191,80,PFNv,PFNv
30313,20520,80,PFNv,hDeltaB
