type_pre,type_post,weight
FB6N,vDeltaE,1173
FB7H,vDeltaC,1173
hDeltaB,FB4G,1172
PFNa,FC3_c,1171
PFNv,FB4M,1170
FB6E,vDeltaD,1169
FB6A_b,hDeltaC,1164
vDeltaI_a,FC2A,1164
FB7L,FC2C,1164
FB7H,(untyped),1164
PEN_a(PEN1),ER1_a,1157
ExR4,ExR4,1155
SAF,vDeltaA_a,1153
ER3a_c,(untyped),1153
ER3a_a,(untyped),1151
ER2_d,ER2_c,1150
FB6A_c,hDeltaK,1149
hDeltaH,PFR_a,1148
ER3a_b,EL,1148
ER3a_d,ER3m,1143
FB7M,(untyped),1139
FB4C,hDeltaB,1135
ER3w_c,ER3w_c,1135
FB2F_b,FC2B,1135
PFNp_a,PFNp_e,1134
(untyped),hDeltaH,1134
FB4F_c,PFL3,1133
(untyped),PFL3,1133
FB4D_c,hDeltaJ,1129
FS4A,SMP297,1127
PFNp_b,PFNp_a,1124
FB2B_b,PFL1,1123
FB1G,hDeltaJ,1122
FB4H,vDeltaL,1116
FB2I_a,FB2E,1114
FB6O,vDeltaD,1113
FB2G_b,PFL2,1113
LNO1,FB4C,1112
FB5G_a,hDeltaM,1112
vDeltaC,hDeltaE,1112
SMP377,FB4M,1111
FB2F_a,FR1,1111
Delta7,PFR_a,1109
FB4D_b,hDeltaJ,1107
vDeltaM,vDeltaL,1106
FB5AB,vDeltaE,1103
PEN_b(PEN2),GLNO,1099
FB2K,FB2G_b,1099
FB4M,hDeltaA,1098
FB6F,hDeltaG,1096
EPG,FB4Y,1094
FB5G_a,FB5A,1093
hDeltaD,vDeltaB,1092
hDeltaC,vDeltaF,1092
LCNOp,PFNp_e,1091
FB2E,FB2I_a,1090
FC2A,PFL2,1090
FB2D,FC3_c,1090
FB5AB,FC2B,1083
FB4I,hDeltaA,1082
FB7E,hDeltaF,1081
PFNp_a,PFL2,1081
ER4d,ExR1,1080
FB4K,FC2A,1078
(untyped),PFNd,1078
(untyped),hDeltaJ,1077
ER4m,ER2_b,1076
FC2B,hDeltaM,1073
ER1_a,PEN_a(PEN1),1073
Delta7,EPGt,1067
FB1E_a,FC2C,1066
FB5I,vDeltaF,1065
FB6A_c,hDeltaF,1063
ER3a_b,ER3a_b,1062
PEN_b(PEN2),ER2_a,1062
FB6M,PFGs,1061
hDeltaL,FB6J,1061
FB4H,vDeltaI_a,1059
PFNd,FB4N,1059
ExR4,ExR7,1058
FB7I,FS2,1056
FC1C_b,FB2D,1055
(untyped),ExR1,1055
FB5V_a,FB4Z_a,1053
TuBu01,ExR1,1046
vDeltaI_b,hDeltaH,1044
(untyped),hDeltaI,1043
EPG,PFL2,1036
hDeltaA,PFR_b,1034
EL,ER3p_b,1034
PFNp_a,vDeltaM,1034
(untyped),hDeltaB,1033
TuBu07,ER3w_b,1031
FB6U,FS2,1031
FB3C,FC3_b,1031
FB4E_b,hDeltaI,1030
FB4P_b,PFL3,1030
FB4K,hDeltaJ,1030
ER4m,ER2_d,1028
ER2_b,ER3w_a,1025
FB6F,FC2C,1023
FB5C,hDeltaG,1018
SA2_c,(untyped),1013
IbSpsP,PEN_a(PEN1),1012
hDeltaB,hDeltaH,1010
ER3a_c,ER3a_b,1008
PFNd,hDeltaJ,1005
EPG,ER1_b,1003
PFGs,ExR3,1002
FB5AB,vDeltaG,1002
Delta7,PFNm_b,1002
PFNm_b,vDeltaC,999
FB5Z,hDeltaG,996
ExR1,ER3d_d,994
hDeltaC,FB6E,994
PEG,EPG,994
hDeltaE,FB7J,993
(untyped),PFR_a,992
FB4H,vDeltaJ,990
FB4F_c,hDeltaA,990
FB4A_b,hDeltaJ,990
FB4B,PFNd,988
hDeltaI,FB4P_a,988
FB5L,vDeltaG,984
FB5A,FS2,983
ER2_b,(untyped),982
hDeltaC,FC2C,980
ER3p_a,EL,980
ExR3,ER3d_c,978
FB4M,PFNd,977
FB5K,vDeltaH,976
(untyped),PEN_a(PEN1),976
FB4N,hDeltaJ,973
TuBu04,ER3d_b,972
hDeltaF,hDeltaC,971
FB4O,hDeltaI,967
FC1A,FB2D,966
ExR2,ER4d,964
TuBu02,ER3m,963
FB4P_a,PFR_b,963
FB5B,hDeltaC,961
FC2A,FB5A,960
FB6I,hDeltaL,959
ExR2,EPG,959
hDeltaM,FC2B,958
IbSpsP,PFNv,958
FB6K,hDeltaL,955
ExR5,FB4Y,954
vDeltaG,hDeltaM,954
PFR_a,FB4O,953
FB6A_c,PFGs,952
PFNp_e,PFNp_a,952
(untyped),ER3d_b,952
FB3C,FB4N,951
FB2F_d,hDeltaC,951
FB7K,vDeltaB,948
FB3C,FS2,947
FB2B_a,FC1A,945
FS4A,SMP505,945
FB4K,hDeltaH,943
PS196_b,LPsP,942
(untyped),hDeltaC,940
PFL1,LAL086,939
(untyped),ER1_a,938
FB5AA,hDeltaG,937
FB4Y,hDeltaI,937
FC1F,FB2B_a,936
FB6C_b,FC2C,935
hDeltaI,FB4E_a,933
vDeltaB,FB8G,933
(untyped),hDeltaE,930
vDeltaM,vDeltaJ,927
FB7A,FB7A,924
(untyped),PFNa,923
PFNp_e,PFNp_b,921
FB7I,hDeltaE,919
FB6E,vDeltaC,919
ER3d_d,ER3d_a,917
FB6W,hDeltaG,916
ExR5,PFL1,915
FB7D_b,hDeltaL,913
FB2F_a,vDeltaG,913
EPG,ExR8,913
PFL3,CRE041,910
PFNm_b,vDeltaB,910
FB1G,FB3C,909
PFNa,FC3_b,909
PFNp_c,PFNm_b,908
FB4Z_c,hDeltaA,907
