type,n_cells,total_in,total_out
AVLP216,2,6694,18566
AVLP217,2,6061,15034
AVLP218_a,2,5486,10951
AVLP218_b,4,9901,13510
AVLP219_a,4,11157,9450
AVLP219_b,4,8541,11627
AVLP219_c,6,14208,20266
AVLP220,4,7780,22810
AVLP221,2,2087,8239
AVLP222,2,3632,7580
AVLP224_a,6,8437,16970
AVLP224_b,2,4127,6484
AVLP225_a,2,1397,4740
AVLP225_b1,4,3273,11977
AVLP225_b2,4,2755,11841
AVLP225_b3,3,1846,7037
AVLP227,4,2443,7710
AVLP229,6,4992,12789
AVLP230,6,8813,21298
AVLP231,5,2619,12709
AVLP232,12,7438,35769
AVLP234,4,5606,11881
AVLP235,6,10801,17139
AVLP243,4,15788,35324
AVLP244,6,10807,32104
AVLP250,4,1346,4689
AVLP251,2,19061,24096
AVLP252,2,7348,21532
AVLP253,2,2585,9995
AVLP254,2,2501,8466
AVLP255,2,980,4128
AVLP256,6,4012,15707
AVLP257,2,7015,20539
AVLP258,2,15173,39577
AVLP259,4,21634,21430
AVLP260,2,6254,12773
AVLP261_a,6,9046,20338
AVLP261_b,2,5319,13932
AVLP262,4,8713,22081
AVLP263,2,3876,7698
AVLP264,4,13351,16311
AVLP265,8,9149,23585
AVLP266,2,10078,12921
AVLP267,2,6571,8579
AVLP268,2,4268,10673
AVLP269_a,6,7494,15314
AVLP269_b,4,7045,9246
AVLP271,4,8109,7764
AVLP274_a,4,5981,11316
AVLP274_b,2,1744,4859
AVLP277,2,1419,5253
AVLP279,13,15330,17576
AVLP280,2,18978,51231
AVLP281,2,5947,25980
AVLP282,4,15522,39248
AVLP283,5,8477,31470
AVLP284,3,5879,12166
