intermediate_body,intermediate_type,intermediate_superclass,pfl3_input,pfl2_input,pfl1_input,dn_body,dn_type,dn_instance,weight
10842,CB0429,descending_neuron,41,0,2,10931,DNpe045,DNpe045(DNp23)_L,15
48763,CL308,cb_intrinsic,1,4,0,12628,DNpe042,DNpe042(CL262)_R,15
10842,CB0429,descending_neuron,41,0,2,11259,DNp68,DNp68(CL138)_R,15
17953,AOTU002_c,cb_intrinsic,1,0,0,11246,DNbe006,DNbe006_L,15
522337,IB109,cb_intrinsic,0,1,0,19773,DNg02_g,DNg02_g_L,15
50858,CL054,cb_intrinsic,0,0,107,10783,DNp09,DNp09_L,15
13930,LAL102,cb_intrinsic,7,0,0,15833,DNp52,DNp52(CRE101)_R,15
12157,CL333,cb_intrinsic,0,1,0,10160,DNg90,DNg90_L,15
154478,LAL087,cb_intrinsic,0,0,270,11028,DNb09,DNb09(DNb01)_L,15
17994,AOTU029,cb_intrinsic,1,0,0,10759,DNb01,DNb01_R,15
567101,PFL3,cb_intrinsic,43,1,6,11846,DNp102,DNp102(PS212)_L,15
11254,LT41,visual_centrifugal,0,0,1,10106,DNp11,DNp11_R,15
10005,AOTU019,cb_intrinsic,980,0,3,12348,MDN,MDN_L,15
10005,AOTU019,cb_intrinsic,980,0,3,10030,pIP1,pIP1_L,15
515032,LAL194,cb_intrinsic,131,0,0,11074,DNg13,DNg13_L,15
519947,PPM1205,cb_intrinsic,1,0,0,10971,DNa11,DNa11(VES008)_L,15
515029,DNpe027,descending_neuron,1,0,0,15326,DNg109,DNg109_L,15
802893,DNpe016,descending_neuron,242,0,0,513711,DNa09,DNa09_L,15
12565,VES018,cb_intrinsic,3,0,0,14067,DNpe003,DNpe003(VES081)_L,15
26488,PFL3,cb_intrinsic,29,2,6,11002,DNae002,DNae002(DNa04)_L,15
515029,DNpe027,descending_neuron,1,0,0,10192,DNg75,DNg75(hb1874217622)_L,15
29860,PS049,cb_intrinsic,1,2,0,10763,MDN,MDN_R,15
519947,PPM1205,cb_intrinsic,1,0,0,12348,MDN,MDN_L,15
14493,VES071,cb_intrinsic,1,0,0,10971,DNa11,DNa11(VES008)_L,15
